frame_index,storm_age_hours,time,center_lat,center_lon,min_mslp_hpa,tb_v1,tb_v2,moran_i,geary_c,gradient_energy,spatial_entropy,experimental_spectral_slope
0,0,2020-05-17 00:00:00,11.0,86.0,979.6612548828125,0.0002342033840250224,1.703476071357727,1.0033760070800781,0.00240123993717134,1.0245737591674242e-08,3.4624354979579293,-4.832396685031198
1,1,2020-05-17 01:00:00,11.0,86.0,979.0818481445312,0.0002895138459280133,1.707523226737976,1.0021262168884277,0.0026028912980109453,1.1240782527011106e-08,3.5304042585268918,-4.675429051267804
2,2,2020-05-17 02:00:00,11.0,86.0,978.9568481445312,0.00034738690010271966,1.7235490083694458,1.0019745826721191,0.0028722162824124098,1.2180927377869466e-08,3.445959263571662,-4.351178871626689
3,3,2020-05-17 03:00:00,11.25,86.25,978.33935546875,0.00033970599179156125,1.764559030532837,1.0022377967834473,0.0029546748846769333,1.350754708084878e-08,3.511213821364675,-4.409064310761203
4,4,2020-05-17 04:00:00,11.25,86.25,977.8099975585938,0.00033249438274651766,1.8287745714187622,1.002380609512329,0.003024442121386528,1.5112643581005614e-08,3.3792007374584543,-4.377930952652781
5,5,2020-05-17 05:00:00,11.5,86.25,978.4199829101562,0.0003658426576294005,1.7752315998077393,1.0025122165679932,0.003180083818733692,1.543751082522249e-08,3.398622081361172,-4.325796937601042
6,6,2020-05-17 06:00:00,11.5,86.5,977.4706420898438,0.00030236729071475565,1.8452638387680054,1.002506971359253,0.002898183884099126,1.570469088107984e-08,3.4184857806085276,-4.402324069918872
7,7,2020-05-17 07:00:00,11.75,86.5,976.7068481445312,0.00030319119105115533,1.8445042371749878,1.0025784969329834,0.002959027187898755,1.586253262075843e-08,3.4500220358768443,-4.496031639297765
8,8,2020-05-17 08:00:00,12.0,86.5,975.7787475585938,0.0002831538731697947,1.8977662324905396,1.0027462244033813,0.0029112526681274176,1.623077494627978e-08,3.381554540332815,-4.656741879449456
9,9,2020-05-17 09:00:00,12.0,86.5,974.3418579101562,0.00025662334519438446,1.9671574831008911,1.0025064945220947,0.0027284768875688314,1.6653748602379892e-08,3.3762579400363437,-4.695882030754177
10,10,2020-05-17 10:00:00,12.0,86.25,976.6174926757812,0.0003009909705724567,1.9536943435668945,1.0011557340621948,0.002837344305589795,1.5149865362218407e-08,3.365613427849127,-4.6112033182126835
11,11,2020-05-17 11:00:00,12.0,86.25,975.2462768554688,0.0002501968701835722,1.9979302883148193,1.0025758743286133,0.0026566851884126663,1.5293878163902264e-08,3.3740185275904713,-4.780981602703238
12,12,2020-05-17 12:00:00,12.25,86.25,974.36376953125,0.0002918045793194324,1.9690622091293335,1.0021196603775024,0.002833486767485738,1.5412908282996796e-08,3.478055697247951,-4.595119556554753
13,13,2020-05-17 13:00:00,12.25,86.25,973.3412475585938,0.00028624440892599523,2.038855791091919,1.0017086267471313,0.002940464299172163,1.6810631109365204e-08,3.5248922942134895,-4.600608409610139
14,14,2020-05-17 14:00:00,12.25,86.25,973.5399780273438,0.00029863842064514756,2.041257858276367,1.0017677545547485,0.0031341842841356993,1.7917056283067723e-08,3.4970375906174844,-4.666660287272106
15,15,2020-05-17 15:00:00,12.25,86.5,974.1668701171875,0.00029147087479941547,2.0739119052886963,1.0016058683395386,0.0031188258435577154,1.8635448739701133e-08,3.539592435085521,-4.653927457601974
16,16,2020-05-17 16:00:00,12.5,86.5,974.802490234375,0.0002960185520350933,2.026013135910034,1.0017465353012085,0.0032448749989271164,1.8417679825688538e-08,3.568694659383563,-4.749992848390197
17,17,2020-05-17 17:00:00,12.5,86.5,974.7218627929688,0.00026564710424281657,2.053222894668579,1.0019588470458984,0.003113884013146162,1.8804671597649758e-08,3.5553871231074767,-5.031888138218557
18,18,2020-05-17 18:00:00,12.75,86.5,973.9481201171875,0.0002375424955971539,2.030405044555664,1.0021917819976807,0.0030415747314691544,1.8770943910340065e-08,3.5590003721709436,-5.243093872080536
19,19,2020-05-17 19:00:00,12.75,86.25,972.9668579101562,0.00023559771943837404,2.0297651290893555,1.0021986961364746,0.003014747053384781,1.8851245897621993e-08,3.552417488306641,-5.311596028112694
20,20,2020-05-17 20:00:00,13.0,86.25,971.8800048828125,0.0002376449847361073,2.081665277481079,1.0019739866256714,0.0030118883587419987,1.966306228950998e-08,3.5391354124080214,-5.144285586822677
21,21,2020-05-17 21:00:00,13.0,86.25,970.7843627929688,0.00024355661298613995,2.1020920276641846,1.0018935203552246,0.0030158718582242727,2.042807878410713e-08,3.5876266787364988,-4.9625278862522
22,22,2020-05-17 22:00:00,13.0,86.25,970.2506103515625,0.00025358659331686795,2.1447019577026367,1.0017435550689697,0.0029683334287256002,2.034054880084568e-08,3.6804727506584087,-4.836995155043652
23,23,2020-05-17 23:00:00,13.0,86.25,968.2987670898438,0.00024632769054733217,2.194685697555542,1.0017915964126587,0.002875545062124729,2.1645217174182108e-08,3.7040542654853654,-4.830932371628937
24,24,2020-05-18 00:00:00,13.0,86.25,967.1212768554688,0.00028803711757063866,2.1640281677246094,1.0008416175842285,0.0030740653164684772,2.315304747924074e-08,3.7033138119013937,-4.654808521532852
25,25,2020-05-18 01:00:00,13.0,86.25,967.07373046875,0.0002977749682031572,2.2011098861694336,1.0002491474151611,0.003093334846198559,2.4590436353832956e-08,3.636293179263718,-4.5887260205999585
26,26,2020-05-18 02:00:00,13.25,86.25,967.119384765625,0.000303171225823462,2.2144906520843506,1.0000059604644775,0.0031502258498221636,2.557357170474006e-08,3.653400702346081,-4.511959572262366
27,27,2020-05-18 03:00:00,13.25,86.25,967.483154296875,0.00031795259565114975,2.2295494079589844,0.9998423457145691,0.0032593109644949436,2.667279730417249e-08,3.485858987116429,-4.458820898725422
28,28,2020-05-18 04:00:00,13.5,86.25,967.447509765625,0.0003195778117515147,2.2825703620910645,1.0000499486923218,0.003285798477008939,2.7738105146113412e-08,3.527767716654634,-4.496690004443283
29,29,2020-05-18 05:00:00,13.5,86.25,966.876220703125,0.0003105360665358603,2.262803792953491,1.0007082223892212,0.003325088182464242,2.7276650271801373e-08,3.50438986672169,-4.60033877708927
30,30,2020-05-18 06:00:00,13.75,86.25,966.0812377929688,0.0003077399742323905,2.3182103633880615,1.0008518695831299,0.0032831639982759953,2.7621815945622075e-08,3.5597366595890576,-4.638507582902623
31,31,2020-05-18 07:00:00,13.75,86.25,964.6325073242188,0.0003490676754154265,2.2769527435302734,1.0007843971252441,0.003445857670158148,2.840135060466764e-08,3.62871784383168,-4.5001952300617845
32,32,2020-05-18 08:00:00,13.75,86.25,963.4093627929688,0.0003643943346105516,2.302696466445923,1.0008007287979126,0.0034756846725940704,2.9376911570011544e-08,3.597392718057065,-4.4401054462336695
33,33,2020-05-18 09:00:00,13.75,86.25,962.6912231445312,0.0003899269213434309,2.3696916103363037,1.000353217124939,0.003600297262892127,3.0909863113492975e-08,3.6547116330966007,-4.396654136139804
34,34,2020-05-18 10:00:00,13.75,86.25,960.2593994140625,0.00044698710553348064,2.5395267009735107,0.9992667436599731,0.003837978234514594,3.679956250834948e-08,3.728782413603788,-4.343902790096142
35,35,2020-05-18 11:00:00,13.75,86.25,960.0081176757812,0.00041662639705464244,2.528604745864868,0.9995483160018921,0.003741935594007373,3.699948436519662e-08,3.7310403727270023,-4.363527513131664
36,36,2020-05-18 12:00:00,14.0,86.25,959.3375244140625,0.00038615253288298845,2.5513405799865723,0.9992527961730957,0.0037434683181345463,3.768903766854237e-08,3.73865841042574,-4.465008829524078
37,37,2020-05-18 13:00:00,14.25,86.5,959.875,0.0003490729141049087,2.5469157695770264,0.9988232851028442,0.003590567037463188,3.6668282632490445e-08,3.645872411251381,-4.546185103692619
38,38,2020-05-18 14:00:00,14.25,86.5,960.0775146484375,0.0003259782388340682,2.540349006652832,0.999106764793396,0.00337552884593606,3.452115748814322e-08,3.6293295067636713,-4.579745948119849
39,39,2020-05-18 15:00:00,14.5,86.5,960.6381225585938,0.0003187562106177211,2.532177686691284,0.9989685416221619,0.0033945811446756124,3.444822027631744e-08,3.622671087175934,-4.589898106435462
40,40,2020-05-18 16:00:00,14.5,86.5,960.2918701171875,0.00032541912514716387,2.557809352874756,0.9992316365242004,0.003454424673691392,3.64402907848671e-08,3.5171598452083774,-4.560894117469015
41,41,2020-05-18 17:00:00,14.75,86.5,958.9749755859375,0.00035055691841989756,2.546494245529175,0.9988075494766235,0.003794383956119418,3.842507823037522e-08,3.495456645753619,-4.63463984727535
42,42,2020-05-18 18:00:00,14.75,86.5,958.1893920898438,0.0003213686868548393,2.597332715988159,0.9992942214012146,0.0036788922734558582,4.0124888300852035e-08,3.453354774745554,-4.7914500219304035
43,43,2020-05-18 19:00:00,15.0,86.5,957.0562744140625,0.0003252062015235424,2.582308292388916,0.9992799758911133,0.003767403308302164,4.115257823400498e-08,3.4397016237957656,-4.839394065851714
44,44,2020-05-18 20:00:00,15.25,86.5,955.380615234375,0.00032289946102537215,2.6048853397369385,0.9994058609008789,0.003808789886534214,4.278651388744947e-08,3.48823170469417,-4.949215158575349
45,45,2020-05-18 21:00:00,15.25,86.5,955.1849975585938,0.00034117515315301716,2.5754282474517822,0.9987931251525879,0.0038605104200541973,4.3273971073176654e-08,3.437983336595244,-4.868917582479468
46,46,2020-05-18 22:00:00,15.5,86.5,953.0606079101562,0.0003813936491496861,2.683372735977173,0.998147189617157,0.004092137794941664,4.962503297178955e-08,3.5274066071884276,-4.803064041021897
47,47,2020-05-18 23:00:00,15.5,86.75,952.193115234375,0.00038252619560807943,2.624699592590332,0.998201310634613,0.004027507267892361,4.926304342234289e-08,3.454654147098088,-4.688189886798877
48,48,2020-05-19 00:00:00,15.75,86.75,949.8968505859375,0.0003968268574681133,2.7442781925201416,0.9976748824119568,0.00392306549474597,5.2208925183094834e-08,3.4804628742206765,-4.542938174087663
49,49,2020-05-19 01:00:00,16.0,86.75,950.01123046875,0.0004673230869229883,2.7135581970214844,0.996226966381073,0.004255848471075296,5.3730740745550065e-08,3.394068620123292,-4.371472516314409
50,50,2020-05-19 02:00:00,16.0,86.75,949.271240234375,0.0005072198109701276,2.7955737113952637,0.9956489205360413,0.004336718004196882,5.7270931108632794e-08,3.4158784159094817,-4.2579497430661
51,51,2020-05-19 03:00:00,16.25,86.75,949.155029296875,0.000531788042280823,2.7729456424713135,0.9954378008842468,0.0044645401649177074,5.850837325738212e-08,3.353653512075501,-4.203973858428803
52,52,2020-05-19 04:00:00,16.25,86.75,949.4043579101562,0.0005844836123287678,2.7485203742980957,0.995075523853302,0.004738002549856901,5.9282363906731916e-08,3.3645824829126196,-4.123900518396364
53,53,2020-05-19 05:00:00,16.5,86.75,947.60498046875,0.0006471454398706555,2.7105042934417725,0.9953456521034241,0.004969110246747732,5.9067815527669154e-08,3.398835799151122,-4.051631845683819
54,54,2020-05-19 06:00:00,16.75,86.75,946.4906005859375,0.0007273841183632612,2.6492221355438232,0.9951908588409424,0.005098894704133272,5.715853745869026e-08,3.402349542985153,-4.000397340384782
55,55,2020-05-19 07:00:00,17.0,86.75,945.7906494140625,0.0008568409830331802,2.6431548595428467,0.9947929978370667,0.0053005823865532875,5.6553187022245766e-08,3.3807179266888765,-3.882604768553602
56,56,2020-05-19 08:00:00,17.0,86.75,941.3512573242188,0.0010717115364968777,2.7122302055358887,0.9943947196006775,0.005792985670268536,6.342601466258202e-08,3.4826758112971747,-3.6900800753729337
57,57,2020-05-19 09:00:00,17.0,86.75,942.5887451171875,0.0011463885894045234,2.749168634414673,0.9938759207725525,0.005928452592343092,6.540217611927801e-08,3.431468296447737,-3.617058419619105
58,58,2020-05-19 10:00:00,17.25,87.0,945.963134765625,0.0012123401975259185,2.693253755569458,0.992827296257019,0.005241234786808491,4.9457529627261465e-08,3.371183567838158,-3.6256477149371547
59,59,2020-05-19 11:00:00,17.25,87.0,947.748779296875,0.0010999079095199704,2.6076276302337646,0.9930908679962158,0.004548494704067707,4.097279671100296e-08,3.4365748717882183,-3.713990136152263
60,60,2020-05-19 12:00:00,17.25,87.0,951.5125122070312,0.0009611470741219819,2.551701307296753,0.993010401725769,0.003996703308075666,3.66989745259616e-08,3.304888257987837,-3.762202582452611
61,61,2020-05-19 13:00:00,17.5,87.0,953.349365234375,0.0009092260152101517,2.558298110961914,0.9924877285957336,0.0035986658185720444,3.2475046651825323e-08,3.302772828632895,-3.8111053989288473
62,62,2020-05-19 14:00:00,17.75,87.0,956.3518676757812,0.0006773841450922191,2.5489466190338135,0.9916837215423584,0.0031041123438626528,2.9669058321246666e-08,3.263082991407595,-3.748969141947557
63,63,2020-05-19 15:00:00,17.75,87.0,956.8049926757812,0.0007195320213213563,2.4812633991241455,0.9911108016967773,0.0030610428657382727,2.8296872400801476e-08,3.2209606167210985,-3.616822154237069
64,64,2020-05-19 16:00:00,17.75,87.0,958.2837524414062,0.0007369806990027428,2.449774742126465,0.9915976524353027,0.0031150956638157368,2.849636615565032e-08,3.179025251181902,-3.577371066458726
65,65,2020-05-19 17:00:00,18.0,87.25,959.181884765625,0.0006446902407333255,2.4475882053375244,0.991808295249939,0.0030119321309030056,2.8185899836330464e-08,3.226215374458855,-3.639929981412244
66,66,2020-05-19 18:00:00,18.25,87.25,959.24560546875,0.0005185793852433562,2.452108383178711,0.992021918296814,0.002863570349290967,2.7113857825611376e-08,3.240283622985308,-3.8111202937121016
67,67,2020-05-19 19:00:00,18.5,87.0,959.3618774414062,0.00043876489507965744,2.4384219646453857,0.9920905828475952,0.0027723147068172693,2.7399201130151596e-08,3.2121930383059727,-3.9566290400144917
68,68,2020-05-19 20:00:00,18.5,87.0,958.467529296875,0.0004407363012433052,2.4573893547058105,0.9926044344902039,0.0029007454868406057,2.7767718790983054e-08,3.2625238071071165,-4.031913495128362
69,69,2020-05-19 21:00:00,18.75,87.25,958.0431518554688,0.000371761794667691,2.4313485622406006,0.9935321807861328,0.0025483821518719196,2.6576612910389485e-08,3.231919185371452,-4.177158946398885
70,70,2020-05-19 22:00:00,18.75,87.25,958.7818603515625,0.0003041154413949698,2.5725455284118652,0.9934799075126648,0.0024692900478839874,2.8832491949515315e-08,3.201515490208672,-4.641350096590143
71,71,2020-05-19 23:00:00,19.0,87.5,960.4025268554688,0.0002476457739248872,2.5480682849884033,0.994836151599884,0.0022152464371174574,2.7267883950798932e-08,3.1603965124485103,-4.93765871226048
72,72,2020-05-20 00:00:00,19.25,87.5,961.17626953125,0.0002580537984613329,2.5680787563323975,0.9941656589508057,0.0021782750263810158,2.739596283163337e-08,3.2189021406691367,-4.779373266780334
73,73,2020-05-20 01:00:00,19.5,87.5,961.251220703125,0.00028073383145965636,2.5874338150024414,0.994299054145813,0.0022150559816509485,2.8560162235180542e-08,3.230486320490266,-4.566151998369381
74,74,2020-05-20 02:00:00,19.75,87.5,961.3218994140625,0.0003054515109397471,2.590312957763672,0.9941781759262085,0.002345008309930563,2.996757686446472e-08,3.227492445955333,-4.335942824065758
75,75,2020-05-20 03:00:00,20.0,87.5,963.541259765625,0.0003046642814297229,2.557487964630127,0.994342029094696,0.00237866654060781,2.97007680671868e-08,3.1950931898520385,-4.383842698543903
76,76,2020-05-20 04:00:00,20.0,87.75,965.3244018554688,0.0002642668259795755,2.528505563735962,0.9950544834136963,0.0022461889311671257,2.73672000616898e-08,3.207214477490767,-4.6036490470576235
77,77,2020-05-20 05:00:00,20.5,87.75,966.7393798828125,0.00027078299899585545,2.470757007598877,0.9946365356445312,0.0022506825625896454,2.4166906698042112e-08,3.2632941932863906,-4.686512104544976
78,78,2020-05-20 06:00:00,20.75,87.75,967.072509765625,0.0002593045646790415,2.4282875061035156,0.9955959320068359,0.00213263719342649,2.2555159517878565e-08,3.2391366885771236,-4.611150355491197
79,79,2020-05-20 07:00:00,21.0,87.75,966.8193969726562,0.00028686769655905664,2.3511457443237305,0.9951983094215393,0.0023477652575820684,2.110245489461704e-08,3.303746772193382,-4.6820529129965625
80,80,2020-05-20 08:00:00,21.25,88.0,966.0393676757812,0.0002840300148818642,2.3165836334228516,0.996046781539917,0.002304370515048504,2.0766393049598264e-08,3.3001357704200682,-4.720682651660755
