storm_id,cohort_type,GE_obs,GE_z,GE_abs_z,GE_surr_mu,GE_surr_std,GE_surr_cv,LE_obs,LE_z,LE_abs_z,LE_surr_mu,LE_surr_std,LE_surr_cv,C_orient_obs,C_orient_z,C_orient_abs_z,C_orient_surr_mu,C_orient_surr_std,C_orient_surr_cv,A_radial_obs,A_radial_z,A_radial_abs_z,A_radial_surr_mu,A_radial_surr_std,A_radial_surr_cv,S_orient_obs,S_orient_z,S_orient_abs_z,S_orient_surr_mu,S_orient_surr_std,S_orient_surr_cv
amphan,Core,0.9336221547687137,-95.4378295223859,95.4378295223859,0.9844240193454452,0.0005323032254141699,0.0005407255562166836,0.0031747776083648205,33.80407885110933,33.80407885110933,0.0019874840515982893,3.512278882651729e-05,0.017671985232082923,2.8965981613282565e-08,-58.04868947366912,58.04868947366912,7.972011864769959e-08,8.733373449875917e-10,0.010954905799139743,0.23536165850244484,4.711447605900864,4.711447605900864,0.051272573551522156,0.03907272251433899,0.7620589295037826,1.6313951015472412,-13.677027668128629,13.677027668128629,1.8071059431725758,0.012847151140968578,0.007109240711370172
bulbul,Core,0.9320580262439835,-29.299604371836985,29.299604371836985,0.9809993421917101,0.0016703746336407818,0.0017027275776833792,0.0016146651469171047,8.19166870941049,8.19166870941049,0.0011707210072197422,5.419459053510016e-05,0.046291635799302185,1.7613883684930443e-08,-23.55371294912495,23.55371294912495,4.267996756461436e-08,1.0632094490081297e-09,0.024910621986217765,0.08116008310880572,-0.24271679975871227,0.24271679975871227,0.09978923561105134,0.07675262907438779,0.7691473795107268,1.513007640838623,-10.552851896953362,10.552851896953362,1.8672353713064864,0.033567014293034575,0.017976852200229092
fani,Core,0.9380893445328427,-55.92602758173048,55.92602758173048,0.983062990205631,0.0008041630625586222,0.0008180178387039007,0.0018366007134318352,7.72657148238309,7.72657148238309,0.0015297322986894985,3.971598628388259e-05,0.02596270359980243,2.1134447081294638e-08,-46.84459911819592,46.84459911819592,6.24955834210065e-08,8.819435435097127e-10,0.014111868125150528,0.005326048181771533,-1.1076111016641907,1.1076111016641907,0.05179159858539407,0.041951141815660946,0.8099989759088405,1.2812480926513672,-28.35808874135369,28.35808874135369,1.8680204722759035,0.02069153478388362,0.011076717354528242
gulab,Core,0.9547416372259256,-8.990936790625678,8.990936790625678,0.9780069737917111,0.0025876432121124363,0.0026458330885694567,0.000978479627519846,-0.9654729696614258,0.9654729696614258,0.001043248689647975,6.708531797153216e-05,0.06430424363136714,1.0801248784275685e-08,-16.180071636095146,16.180071636095146,3.908834220750029e-08,1.7472675021117108e-09,0.04469933243789538,0.17427764906724766,0.8248846899725664,0.8248846899725664,0.10192084719849046,0.08771747463313778,0.8606431073070624,1.1389186382293701,-15.03806484225701,15.03806484225701,1.9057914754606857,0.05099544690493437,0.026758146188360147
haiyan,Core,0.9517119817319158,-19.83905045953545,19.83905045953545,0.9819098692982788,0.0015221437945387964,0.0015501868777681655,0.0024577262811362743,9.789617327973765,9.789617327973765,0.0016701704123806681,8.044807397277455e-05,0.048167584174800424,2.6721576062982422e-08,-21.734031383302494,21.734031383302494,5.789441861146523e-08,1.433287178421571e-09,0.024756487003580144,0.7290048488848735,6.764058766936236,6.764058766936236,0.10505157458752032,0.0922453952263941,0.8780962645035343,1.6305546760559082,-5.205074889587881,5.205074889587881,1.8320971745683294,0.038720384006458275,0.021134459756786787
hudhud,Core,0.936408038355315,-27.824127469315066,27.824127469315066,0.9819087897462144,0.0016352984083060384,0.0016654280167173517,0.0035159157123416662,14.401438902689021,14.401438902689021,0.0021076322807852673,9.778768820746147e-05,0.04639693985168539,2.4367391660007343e-08,-30.68079542650079,30.68079542650079,7.239742884768005e-08,1.5644756182164159e-09,0.0216092481994041,0.6512562194953108,6.799946234666138,6.799946234666138,0.1013884893457925,0.08086354085264551,0.7975613540907707,1.5366662740707397,-8.77428206715112,8.77428206715112,1.837778646127651,0.03431760795284119,0.018673417511479145
ida,Core,0.9182022475131827,-35.3648911142995,35.3648911142995,0.9801806860013784,0.0017525414754570067,0.0017879779723110707,0.0035157441161572933,7.625670974384,7.625670974384,0.002539232012770022,0.00012805589161162084,0.05043095349979266,1.995513443375785e-08,-19.704666574989954,19.704666574989954,1.0143200494137898e-07,4.133902267822954e-09,0.04075500149297612,0.5132342362233567,5.525527710913545,5.525527710913545,0.0969983214229425,0.07532962217758413,0.7766074821887609,1.1880810260772705,-17.92781372942959,17.92781372942959,1.8715981728689428,0.03812607365792237,0.020370864970154973
kyarr,Core,0.9174111905792591,-36.19428043992339,36.19428043992339,0.9818980302598955,0.0017816859144770061,0.0018145325273782277,0.0034734660293906927,18.038629520481464,18.038629520481464,0.0018796643164334008,8.835492148164717e-05,0.04700569174090188,1.5170121159258088e-08,-41.33658912080115,41.33658912080115,5.914210928187737e-08,1.062754631377942e-09,0.017969204600198307,0.2815826103494025,1.841718370588002,1.841718370588002,0.11325947956503933,0.0913946092250691,0.8069488715227473,2.121492862701416,7.64354525455947,7.64354525455947,1.8338183050480874,0.037636273229897294,0.020523447239169015
mekunu,Core,0.943461243670644,-22.92120749008613,22.92120749008613,0.980372335297122,0.0016103467332391434,0.001642586877718711,0.002452634507790208,7.2656465097633145,7.2656465097633145,0.0018498428707557722,8.296462385814937e-05,0.04484955188621171,2.2719158110362514e-08,-22.469057074444954,22.469057074444954,6.58156216473506e-08,1.9170361416235657e-09,0.029126930152920342,0.35069124638789884,3.216516662750759,3.216516662750759,0.09576663022430804,0.07925487192793312,0.8275833841231746,1.3327994346618652,-13.796598661497491,13.796598661497491,1.8769547741057875,0.03944126757479098,0.021013435229711618
mocha,Core,0.9295729366941823,-87.32788445303473,87.32788445303473,0.9836371895609227,0.0006190949559586379,0.0006293936041950193,0.0027511336375027895,19.25029837890743,19.25029837890743,0.0019662389921103244,4.07731148210241e-05,0.02073660168671894,2.2280243427985624e-08,-57.742454333988945,57.742454333988945,7.68546818508599e-08,9.441354129703163e-10,0.01228452328095184,0.20953159116466258,3.718623442311076,3.718623442311076,0.05195403817452629,0.04237523788869713,0.8156293404091659,1.5210001468658447,-17.355999793682837,17.355999793682837,1.8485320696262206,0.018871394712866592,0.010208854378529792
nargis,Core,0.9536836355788935,-27.52182723757229,27.52182723757229,0.9813032618935551,0.0010035535085924094,0.0010226741799012232,0.0010114721953868866,-5.324715163823141,5.324715163823141,0.0012066777438772683,3.6660278936969305e-05,0.030381167708283238,1.6115491163759543e-08,-41.10814375580762,41.10814375580762,4.9981309558206735e-08,8.228226127557206e-10,0.016462276754088467,0.059428009036927715,-0.04427888159695612,0.04427888159695612,0.06167691360900368,0.05078955228594311,0.8234775268927417,1.449521780014038,-18.1869006678719,18.1869006678719,1.9026031454982628,0.02491251113865869,0.013093908310616919
sidr,Core,0.9377339645835561,-67.92589283586692,67.92589283586692,0.9841472667911515,0.000683293221508631,0.0006942997705372281,0.0014587420737370849,13.806968828380244,13.806968828380244,0.0010765678911784265,2.7679802388351167e-05,0.02571115355515694,1.5109234752230805e-08,-33.59690893294147,33.59690893294147,4.199658097953174e-08,7.992922614389127e-10,0.019031864283527707,0.258662800251843,4.254483105343108,4.254483105343108,0.06246446260922428,0.0461156697019112,0.7382704945317646,1.7956911325454712,-1.9463081542222693,1.9463081542222693,1.831216021125251,0.018252448103229086,0.009967392100470648
yaas,Core,0.9543989150054356,-41.80563743473256,41.80563743473256,0.9840162239598261,0.000708452513344014,0.0007199601958719511,0.0016589869046583772,1.9136309621012038,1.9136309621012038,0.0015845228518783518,3.891244045541123e-05,0.024557828487437185,2.0811770085060743e-08,-36.81666989044793,36.81666989044793,6.447933238246164e-08,1.1850812623015211e-09,0.01837895709458002,0.055203594427781034,-0.14866055439871342,0.14866055439871342,0.062325099011053584,0.047904466735834546,0.768622392827164,1.4570577144622803,-20.598767951000966,20.598767951000966,1.841001490834728,0.018639162170531267,0.010124468808588506
fay_2020,Expanded,0.9751340379126704,-2.9725630199858037,2.9725630199858037,0.9795534737365932,0.0014867425152087553,0.0015177757570864682,0.000453636166639626,-8.943528709466424,8.943528709466424,0.0007503471018572898,3.3176046716334294e-05,0.04421426642416732,7.564297632711714e-09,-29.32589867664473,29.32589867664473,3.3667644019284584e-08,8.891124113670108e-10,0.026407728533936463,0.08691831857829978,0.16773118425350947,0.16773118425350947,0.07826560714512412,0.05158677840090956,0.6591244900789637,1.2897814512252808,-15.514245615948475,15.514245615948475,1.90488998294531,0.039647982050264194,0.020813791035291344
goni_2020,Expanded,0.9764028296656606,-4.702098394617038,4.702098394617038,0.9829578229199272,0.001394057014431816,0.0014182266847312728,0.00024624299840070307,-4.39190492907762,4.39190492907762,0.00034333169389629903,2.2106282506457038e-05,0.06438753786810766,3.2328586474505983e-09,-15.625742818761186,15.625742818761186,1.406917553500642e-08,6.924913119487096e-10,0.04921696323018856,0.17278498584567634,1.3436609578202043,1.3436609578202043,0.08900304170254274,0.06235348556804672,0.7005770182072862,1.9644320011138916,5.440921612989275,5.440921612989275,1.7838751776262307,0.03318497054821949,0.01860274248132064
