storm_id,cohort_type,min_pressure_hpa,max_wind_kt,D_M_unscaled,surrogate_percentile,null_cov_condition_num,n_surrogates,mean_surrogate_DM,std_surrogate_DM,GE_std,LE_std,C_std,A_std,S_std
amphan,Core,,,468.90833332604524,100.0,124.96437184774015,100,2.0265113097691483,2.1497112995484238,0.0005403018147660376,3.5471871052611455e-05,7.323619452855313e-10,0.03606739724765945,0.012724283572441554
bulbul,Core,,,171.11635541500067,100.0,149.92430472217032,100,2.116852722882695,1.7129348923104029,0.0018658703107478154,5.884700882578216e-05,1.1265045287990437e-09,0.06866175118754042,0.03417986604255967
fani,Core,,,969.2877624704932,100.0,87.66887884216429,100,2.0644469723249923,2.173716842217837,0.0007534734493590571,4.5036185063709204e-05,8.560617145525789e-10,0.039943626569938905,0.020118631464511667
gulab,Core,,,283.24585081214724,100.0,121.01353231903275,100,2.1234266468992318,1.6201316604136307,0.002353113224944453,6.277062294417636e-05,1.9219207876333233e-09,0.07923358947629872,0.047676389989434236
haiyan,Core,,,100.51683415393839,100.0,152.64913737040177,100,2.068618448034937,1.7742724748756602,0.0016828010919103925,8.24988901592887e-05,1.3170334922130646e-09,0.08101740012529095,0.04036426345845249
hudhud,Core,,,139.94247501397092,100.0,118.03031629657295,100,2.075182981634304,2.1409855250086767,0.0017825847937199834,0.00010198467130174129,1.4973504415229403e-09,0.08216766551692914,0.03743664830910158
ida,Core,,,609.1865878572071,100.0,105.69365803569318,100,2.1200480265644877,2.066007806153512,0.0021956452907949623,0.00015671971311125295,4.224750369096871e-09,0.06906463670768301,0.03217900855655579
kyarr,Core,,,119.4035024415168,100.0,86.80850894808863,100,2.095197129360838,2.2894510045268732,0.002000690227717276,9.461360050731717e-05,1.26501908492138e-09,0.07526172946238883,0.041380688147209035
mekunu,Core,,,212.1658010697588,100.0,121.35150120643088,100,2.0735092244475575,1.9699168968246916,0.0016311337919181785,7.620595655325072e-05,2.0389386366402357e-09,0.08012105904625638,0.0411166473920067
mocha,Core,,,505.3501534111951,100.0,89.49331290476054,100,2.042011272529077,2.3231201361703833,0.0006908601710331764,4.223808073956614e-05,1.0098058398152475e-09,0.043287208167841616,0.018070243730123066
nargis,Core,,,447.1442630330789,100.0,74.19719619710358,100,2.0808856095105623,2.3090133638501604,0.0012570847307837548,4.5318492656894394e-05,8.918974567804925e-10,0.048556375027083,0.021868239489312394
sidr,Core,,,165.59639346514774,100.0,99.79384314161767,100,2.0545334092083833,2.18849329499224,0.0007122354310870044,2.529458856369856e-05,7.723516602850621e-10,0.040243460059361615,0.01799749965752157
yaas,Core,,,448.00828004428297,100.0,125.53736239027275,100,2.0578719225825672,2.025965738065034,0.00075530865580403,4.0276837560495005e-05,1.2768852274248337e-09,0.042670764662810806,0.01955075335311897
fay_2020,Expanded,,,366.088433484779,100.0,89.51189723315156,100,2.099082306553978,2.204370835720237,0.0014241852667156087,3.061783779115139e-05,8.88749503265872e-10,0.05428439414468412,0.03303254811394044
goni_2020,Expanded,,,43.67931248861114,100.0,91.48385252135677,100,2.093588552787033,2.067132159185321,0.0015128825777048728,2.33132340918403e-05,7.336349844545445e-10,0.05662667950032209,0.027974647851835285
ian_2022,Expanded,,,376.62949872619384,100.0,133.80525763898956,100,2.0585075198328475,1.8616317591025031,0.0009751409070732857,4.472233227680681e-05,1.1598184213118777e-09,0.04940130211693414,0.019229626606185504
maria_2017,Expanded,,,450.36844905504256,100.0,107.94343877291857,100,2.0962060764424493,2.0544655422098876,0.001750151740717052,4.9324342081863755e-05,1.599498010731145e-09,0.061478409007360124,0.027571011073597062
sam_2021,Expanded,,,543.4535853100828,100.0,118.68834406415895,100,2.091258652352047,1.9391535216909692,0.001934736752322239,4.366726961332159e-05,1.2797419368626252e-09,0.06516473249438846,0.025409418993671325
low_2021_01,NegativeControl,,,370.6141753415861,100.0,143.6101651339652,100,2.083092390247148,1.6478980918819421,0.0010803375559857284,3.697327847745626e-05,1.0569080695834514e-09,0.04837078055405131,0.02224530451237276
low_2022_02,NegativeControl,,,21.08038661587487,100.0,145.12239230513964,100,2.0787921128737827,1.8967889157272355,0.001285443987340153,4.613625297041296e-05,1.3519382945005797e-09,0.05069208650419904,0.016936560668387442
