Storm,DM_Observed,DM_Null_Mean,DM_Null_95th,DM_Null_99th,Exceeds_99th,Empirical_Rank_p,Chi2_p_val,Cov_Cond_Num,Singular_Warn
AMPHAN_72H,117.67601013991897,2.1110591319796645,3.3018415598792936,4.193367793731472,True,0.004975124378109453,0.0,2.7180757359483647,False
BULBUL_72H,36.35412469234364,2.039999761308222,3.66562232657128,4.948432423088827,True,0.004975124378109453,1.3207221726018873e-283,2.593814142542203,False
FANI_72H,88.1557129200358,2.0743358540422325,3.4827113916765517,4.593003529352816,True,0.004975124378109453,0.0,2.419750383680444,False
GULAB_72H,44.58820247205669,2.1258886380983797,3.3076465860229485,3.680104010250587,True,0.004975124378109453,0.0,3.8760566804800103,False
HAIYAN_72H,29.65084316203765,2.052262428501663,3.4416253913174106,4.369086213579725,True,0.004975124378109453,8.561075056102142e-188,5.48665986088768,False
HUDHUD_72H,36.2412812563051,2.0956527018658355,3.4009897507943974,4.457047491739917,True,0.004975124378109453,7.863554760526464e-282,2.207307041189778,False
IDA_72H,50.8848528743753,2.0611455278563926,3.5418826346956256,4.8450305200430535,True,0.004975124378109453,0.0,2.572478445840859,False
KYARR_72H,29.88979937855066,2.0890325509184526,3.5280153596334616,4.817112137980814,True,0.004975124378109453,7.136364998480004e-191,5.805079043777629,False
MEKUNU_72H,24.312962059224546,2.110237340117882,3.279134526748417,4.030207984356657,True,0.004975124378109453,1.676604501887319e-125,2.4167242492561196,False
MOCHA_72H,75.26530038376605,2.0892199603058152,3.5822884676533024,4.396797320201562,True,0.004975124378109453,0.0,2.6080760932891063,False
NARGIS_72H,70.56209943801129,2.0396764808842516,3.5714104535860995,4.696943095866951,True,0.004975124378109453,0.0,5.277426278811828,False
SIDR_72H,66.13047919388063,2.069802124129946,3.784799886223673,4.467246443306467,True,0.004975124378109453,0.0,3.8743747623041065,False
YAAS_72H,102.59342419183076,2.0872281226658047,3.4661805345416714,4.143831626532005,True,0.004975124378109453,0.0,1.6332258051566901,False
