Alpha,TB-v1,TB-v2,Moran I,Geary C
0.0,0.9854815365637459,0.9932762318441529,0.958035509958041,0.04983546331041795
0.1,0.9770019633731787,0.5908326238900857,0.9462483527884268,0.0615130968999264
0.2,0.9670361585006524,0.5547663732273722,0.9012978990086419,0.10604417177330756
0.3,0.956616207534885,0.5356384802263967,0.8083645454453804,0.19810969990750107
0.4,0.9460359650303742,0.5248602949913941,0.6612017202013365,0.3438977036197316
0.5,0.9354123216192163,0.5169028516737503,0.475826705562495,0.5275404011453341
0.6,0.9247976321181677,0.5116062477385012,0.2910085571931466,0.7106309843017692
0.7,0.9142435848040976,0.5078019609665482,0.1452335314763952,0.8550429900332577
0.8,0.903744518758009,0.5048129591287919,0.053960027130213,0.9454626955894713
0.9,0.8932878242954103,0.5030295396473774,0.010533782293957471,0.9884823386749837
1.0,0.8828907373551377,0.5026441677012845,-1.747327588462874e-05,0.998934340875471
