Sigma,TB-v1,TB-v2,Moran I,Geary C
0.0,0.9854815365637459,0.9932762318441529,0.958035509958041,0.04983546331041795
0.1,0.9124198055770204,0.5213268097135333,0.652072065974098,0.35313313412427766
0.25,0.8139316518466634,0.5067092377112379,0.24790407843821838,0.7543870679593275
0.5,0.6866286770762805,0.5046409188421991,0.07435112816054235,0.9252085218963821
1.0,0.5251512541372859,0.5009848611603711,0.02506181072087808,0.9750825594077107
2.0,0.36020381077817476,0.5012055080246687,0.010492737305214328,0.9893562111031314
