Resolution,TB-v1,TB-v2,Moran I,Geary C
32x32,0.9587052664223559,0.94549137661999,0.6459649660945964,0.38591585664215194
64x64,0.9739947323632477,0.9823744539151527,0.8687282936023549,0.14710879709080632
128x128,0.9854815365637459,0.9932762318441529,0.958035509958041,0.04983546331041795
256x256,0.9923388726972272,0.9959543613781795,0.988141609455511,0.01577971810183095
512x512,0.9960661744441417,0.9954365621697239,0.9971723874720174,0.004784541295801564
