Scramble_%,TB-v1,TB-v2,Moran I,Geary C
0,0.9854815365637459,0.9932762318441529,0.958035509958041,0.04983546331041795
10,0.969705602951597,0.7712787271563628,0.7553309407810321,0.2517459242540071
25,0.9553040973522317,0.6055171560416177,0.5449729055763297,0.461286887413535
50,0.9344972313683777,0.5160107973251059,0.27121420004552926,0.733530722485551
75,0.9196685401542909,0.49945856925387877,0.05038726169137867,0.9518090930396583
100,0.9147993879748938,0.5006888653235095,0.002978988708005075,0.997811066403293
