Metric,Peak_Value,Peak_Time,Direct_Event_Delta_Hours,CrossCorr_Lag_Hours,Max_CrossCorr
gradient_energy,4937.64111328125,2020-05-19 09:00:00,1.0,-3,-0.9265869932411226
tb_v2_intensity,28.849916458129883,2020-05-19 02:00:00,-6.0,3,-0.8699186278961784
tb_v2_cosine,0.9987004995346069,2020-05-19 15:00:00,7.0,21,-0.24555715205338974
tb_v1,2.0217318534851074,2020-05-19 08:00:00,0.0,0,-0.8406245999919171
morans_i,0.9788850545883179,2020-05-19 15:00:00,7.0,24,0.8437740158496074
spatial_entropy,0.0721335965639677,2020-05-19 09:00:00,1.0,-6,0.9386125250623171
