metric,cliffs_delta,cliffs_delta_ci95_low,cliffs_delta_ci95_high,rank_biserial_corr,hedges_g,effect_magnitude
circulation_250km_mean,0.25,-0.015350877192982455,0.506578947368421,-0.25,0.11255215014928004,Small
compactness_ratio_mean,-0.013157894736842105,-0.3706140350877193,0.35526315789473684,0.013157894736842146,-0.18410227666989953,Negligible
asymmetry_index_mean,-0.02631578947368421,-0.3442982456140351,0.2916666666666667,0.02631578947368418,-0.25614521598691087,Negligible
filamentation_fraction_mean,-0.16228070175438597,-0.4484923245614035,0.13267543859649122,0.16228070175438591,-0.2942582028244784,Small
coherence_index_mean,0.2894736842105263,-0.043859649122807015,0.6008771929824561,-0.2894736842105263,0.3964201761740241,Small
boundary_entropy_bits_mean,0.05921052631578947,-0.26973684210526316,0.3881578947368421,-0.05921052631578938,0.37535249858396086,Negligible
boundary_sharpness_mean,-0.03508771929824561,-0.3442982456140351,0.2675438596491228,0.03508771929824561,0.19398066242230355,Negligible
