Metric,Peak_Value,Peak_Time,Direct_Event_Delta_Hours,CrossCorr_Lag_Hours,Max_CrossCorr
gradient_energy,1827396.5,2023-05-14 21:00:00,16.0,24,-0.2850230799955188
tb_v2_intensity,768.0662231445312,2023-05-14 21:00:00,16.0,-24,0.3929763723147567
tb_v2_cosine,0.9987600445747375,2023-05-14 01:00:00,-4.0,0,-0.8663223677842407
tb_v1,227.28436279296875,2023-05-14 21:00:00,16.0,-24,0.30246999596973845
morans_i,0.9125425815582275,2023-05-15 11:00:00,30.0,-15,0.11725956659739686
spatial_entropy,0.019315314329904198,2023-05-13 04:00:00,-25.0,24,0.7202384209828736
