Metric,Peak_Value,Peak_Time,Direct_Event_Delta_Hours,CrossCorr_Lag_Hours,Max_CrossCorr
gradient_energy,1046185.4375,2021-05-27 15:00:00,39.0,-12,0.18802185220632434
tb_v2_intensity,510.696044921875,2021-05-27 15:00:00,39.0,-18,0.5758109245860573
tb_v2_cosine,0.9987225532531738,2021-05-24 00:00:00,-48.0,-24,-0.6474890197260996
tb_v1,145.77459716796875,2021-05-27 15:00:00,39.0,-12,0.5053541611103263
morans_i,0.9201992154121399,2021-05-27 22:00:00,46.0,-6,0.7111761903625359
spatial_entropy,0.01942469561260386,2021-05-24 00:00:00,-48.0,-24,0.5640676847408994
