Metric,Peak_Value,Peak_Time,Direct_Event_Delta_Hours,CrossCorr_Lag_Hours,Max_CrossCorr
gradient_energy,646721.5625,2008-04-30 23:00:00,0.0,0,-0.4287215002644491
tb_v2_intensity,313.2675476074219,2008-04-30 23:00:00,0.0,-6,-0.5720054029861534
tb_v2_cosine,0.9986345171928406,2008-04-29 21:00:00,-26.0,18,0.41430270772523886
tb_v1,97.54206848144531,2008-04-30 23:00:00,0.0,0,-0.5964526515432357
morans_i,0.8931357264518738,2008-04-29 23:00:00,-24.0,24,-0.21536765770589777
spatial_entropy,0.021173258157051632,2008-04-29 14:00:00,-33.0,0,-0.5558774205146007
