time,min_mslp,tb_v1,tb_v2_intensity,tb_v2_cosine,tb_v2,morans_i,gearys_c,gradient_energy,spectral_slope,spatial_entropy
2007-11-13 00:00:00,991.2681274414062,109.27742767333984,304.4278564453125,0.9986400604248047,304.4278564453125,0.9254051446914673,0.0431310199201107,643251.9375,-2.749166925359493,0.02168826969340801
2007-11-13 01:00:00,992.141845703125,110.73211669921875,312.4232482910156,0.9986379146575928,312.4232482910156,0.92713862657547,0.04199056699872017,658065.5625,-2.7860517186465925,0.02179234297137409
2007-11-13 02:00:00,993.0218505859375,110.73211669921875,312.4232482910156,0.9986379146575928,312.4232482910156,0.92713862657547,0.04199056699872017,658065.5625,-2.7860517186465925,0.02179234297137409
2007-11-13 03:00:00,994.0031127929688,110.16886138916016,321.16131591796875,0.9986554384231567,321.16131591796875,0.9277252554893494,0.040752556174993515,675097.625,-2.758218702184843,0.021895761922339566
2007-11-13 04:00:00,993.4874877929688,105.54447937011719,313.04742431640625,0.9986801147460938,313.04742431640625,0.9250153303146362,0.04160241037607193,671265.4375,-2.741468785218294,0.021806892253706012
2007-11-13 05:00:00,993.0868530273438,105.54447937011719,313.04742431640625,0.9986801147460938,313.04742431640625,0.9250153303146362,0.04160241037607193,671265.4375,-2.741468785218294,0.021806892253706012
2007-11-13 06:00:00,992.6118774414062,105.54447937011719,313.04742431640625,0.9986801147460938,313.04742431640625,0.9250153303146362,0.04160241037607193,671265.4375,-2.741468785218294,0.021806892253706012
2007-11-13 07:00:00,992.0362548828125,106.83863830566406,322.26397705078125,0.998681902885437,322.26397705078125,0.9256162643432617,0.040293604135513306,688576.5625,-2.7409999983952997,0.021908892592182906
2007-11-13 08:00:00,991.8712768554688,106.83863830566406,322.26397705078125,0.998681902885437,322.26397705078125,0.9256162643432617,0.040293604135513306,688576.5625,-2.7409999983952997,0.021908892592182906
2007-11-13 09:00:00,991.6687622070312,110.31198120117188,331.087890625,0.9986850619316101,331.087890625,0.9276007413864136,0.039079923182725906,703326.875,-2.7691887426059583,0.0220114351488873
2007-11-13 10:00:00,989.6781005859375,110.31198120117188,331.087890625,0.9986850619316101,331.087890625,0.9276007413864136,0.039079923182725906,703326.875,-2.7691887426059583,0.0220114351488873
2007-11-13 11:00:00,989.4924926757812,114.11602020263672,340.126708984375,0.9986709952354431,340.126708984375,0.9293494820594788,0.03842860460281372,729068.6875,-2.7517927482096582,0.02210982293627087
2007-11-13 12:00:00,989.3656005859375,114.11602020263672,340.126708984375,0.9986709952354431,340.126708984375,0.9293494820594788,0.03842860460281372,729068.6875,-2.7517927482096582,0.02210982293627087
2007-11-13 13:00:00,989.8937377929688,114.11602020263672,340.126708984375,0.9986709952354431,340.126708984375,0.9293494820594788,0.03842860460281372,729068.6875,-2.7517927482096582,0.02210982293627087
2007-11-13 14:00:00,990.5906372070312,118.38397216796875,348.5333251953125,0.9986822009086609,348.5333251953125,0.9305996298789978,0.03753312677145004,744982.25,-2.726391661368368,0.022206999711998493
2007-11-13 15:00:00,991.1581420898438,118.38397216796875,348.5333251953125,0.9986822009086609,348.5333251953125,0.9305996298789978,0.03753312677145004,744982.25,-2.726391661368368,0.022206999711998493
2007-11-13 16:00:00,991.5775146484375,118.38397216796875,348.5333251953125,0.9986822009086609,348.5333251953125,0.9305996298789978,0.03753312677145004,744982.25,-2.726391661368368,0.022206999711998493
2007-11-13 17:00:00,991.2162475585938,122.07818603515625,356.9921569824219,0.998737096786499,356.9921569824219,0.932300865650177,0.03694260120391846,764148.4375,-2.8081959473319285,0.02229807821333997
2007-11-13 18:00:00,990.7637329101562,114.6146011352539,346.066162109375,0.9987175464630127,346.066162109375,0.9325622320175171,0.03749582916498184,731960.5,-2.7836735535671324,0.022202254072432866
2007-11-13 19:00:00,990.27001953125,116.37916564941406,354.044189453125,0.99862140417099,354.044189453125,0.9350330233573914,0.037234026938676834,745883.5625,-2.8533333018822185,0.02228828053318719
2007-11-13 20:00:00,989.3212280273438,116.37916564941406,354.044189453125,0.99862140417099,354.044189453125,0.9350330233573914,0.037234026938676834,745883.5625,-2.8533333018822185,0.02228828053318719
2007-11-13 21:00:00,988.9268798828125,116.37916564941406,354.044189453125,0.99862140417099,354.044189453125,0.9350330233573914,0.037234026938676834,745883.5625,-2.8533333018822185,0.02228828053318719
2007-11-13 22:00:00,986.7481079101562,116.5833740234375,360.0467834472656,0.9986662268638611,360.0467834472656,0.9359880685806274,0.036734528839588165,751099.5625,-2.8821053837954964,0.021748904123394322
2007-11-13 23:00:00,986.40625,116.5833740234375,360.0467834472656,0.9986662268638611,360.0467834472656,0.9359880685806274,0.036734528839588165,751099.5625,-2.8821053837954964,0.021748904123394322
2007-11-14 00:00:00,986.30126953125,118.90418243408203,365.60003662109375,0.9986996054649353,365.60003662109375,0.9361047744750977,0.036340825259685516,763101.0,-2.8622930352337805,0.022008825796623756
2007-11-14 01:00:00,987.0706176757812,118.90418243408203,365.60003662109375,0.9986996054649353,365.60003662109375,0.9361047744750977,0.036340825259685516,763101.0,-2.8622930352337805,0.022008825796623756
2007-11-14 02:00:00,988.072509765625,118.90418243408203,365.60003662109375,0.9986996054649353,365.60003662109375,0.9361047744750977,0.036340825259685516,763101.0,-2.8622930352337805,0.022008825796623756
2007-11-14 03:00:00,989.0293579101562,126.94464874267578,382.0527648925781,0.9986767768859863,382.0527648925781,0.9358618855476379,0.03515360504388809,805749.9375,-2.8742934748631153,0.0218392739309485
2007-11-14 04:00:00,989.0750122070312,126.94464874267578,382.0527648925781,0.9986767768859863,382.0527648925781,0.9358618855476379,0.03515360504388809,805749.9375,-2.8742934748631153,0.0218392739309485
2007-11-14 05:00:00,989.4081420898438,121.36383819580078,379.42767333984375,0.9986740350723267,379.42767333984375,0.9345742464065552,0.03533148020505905,786701.9375,-2.8690650356265035,0.020467609795259516
2007-11-14 06:00:00,988.4737548828125,121.36383819580078,379.42767333984375,0.9986740350723267,379.42767333984375,0.9345742464065552,0.03533148020505905,786701.9375,-2.8690650356265035,0.020467609795259516
2007-11-14 07:00:00,987.8262329101562,122.84346008300781,381.3646240234375,0.9986663460731506,381.3646240234375,0.9348476529121399,0.03513704240322113,787970.1875,-2.8733529625665137,0.020493972123509646
2007-11-14 08:00:00,987.032470703125,122.84346008300781,381.3646240234375,0.9986663460731506,381.3646240234375,0.9348476529121399,0.03513704240322113,787970.1875,-2.8733529625665137,0.020493972123509646
2007-11-14 09:00:00,986.8431396484375,122.6657943725586,384.6388244628906,0.9986439347267151,384.6388244628906,0.9348341226577759,0.035149455070495605,795893.0,-2.877730720744416,0.020270056768910024
2007-11-14 10:00:00,986.364990234375,123.81661987304688,388.73443603515625,0.9986624121665955,388.73443603515625,0.934759795665741,0.035234130918979645,805655.9375,-2.8609281427118827,0.020305522554650526
2007-11-14 11:00:00,986.5225219726562,123.81661987304688,388.73443603515625,0.9986624121665955,388.73443603515625,0.934759795665741,0.035234130918979645,805655.9375,-2.8609281427118827,0.020305522554650526
2007-11-14 12:00:00,987.19873046875,124.6455078125,392.9712829589844,0.9986221194267273,392.9712829589844,0.9347054958343506,0.03532102704048157,816707.625,-2.855371359864587,0.020343238348098997
2007-11-14 13:00:00,987.186279296875,124.6455078125,392.9712829589844,0.9986221194267273,392.9712829589844,0.9347054958343506,0.03532102704048157,816707.625,-2.855371359864587,0.020343238348098997
2007-11-14 14:00:00,988.6681518554688,124.6455078125,392.9712829589844,0.9986221194267273,392.9712829589844,0.9347054958343506,0.03532102704048157,816707.625,-2.855371359864587,0.020343238348098997
2007-11-14 15:00:00,988.9931030273438,126.7439193725586,396.671875,0.9985494613647461,396.671875,0.9346407055854797,0.0353437103331089,830888.5,-2.858274102113144,0.020378812034181737
2007-11-14 16:00:00,989.338134765625,120.02349090576172,391.0986328125,0.9986170530319214,391.0986328125,0.9322475790977478,0.03663294389843941,825908.4375,-2.8535893724447803,0.02031730127708794
2007-11-14 17:00:00,988.907470703125,120.02349090576172,391.0986328125,0.9986170530319214,391.0986328125,0.9322475790977478,0.03663294389843941,825908.4375,-2.8535893724447803,0.02031730127708794
2007-11-14 18:00:00,988.302490234375,117.91403198242188,393.5284729003906,0.9985933303833008,393.5284729003906,0.9318575859069824,0.03642123565077782,833202.5,-2.854593847654244,0.020347520021042072
2007-11-14 19:00:00,987.6937255859375,118.86027526855469,394.19073486328125,0.9985638856887817,394.19073486328125,0.932978630065918,0.03591391071677208,824445.0,-2.870020074383273,0.02037609166149683
2007-11-14 20:00:00,986.6900024414062,118.86027526855469,394.19073486328125,0.9985638856887817,394.19073486328125,0.932978630065918,0.03591391071677208,824445.0,-2.870020074383273,0.02037609166149683
2007-11-14 21:00:00,986.3350219726562,119.60134887695312,396.2814025878906,0.9985304474830627,396.2814025878906,0.9335437417030334,0.03563180938363075,824084.5,-2.854379366620553,0.020406482965847354
2007-11-14 22:00:00,985.739990234375,121.01166534423828,400.0679016113281,0.9985261559486389,400.0679016113281,0.9335858821868896,0.03562433645129204,833323.0,-2.8637163976490703,0.020438758307122922
2007-11-14 23:00:00,986.4681396484375,121.90873718261719,404.47344970703125,0.998583972454071,404.47344970703125,0.9335528016090393,0.035672031342983246,843478.3125,-2.8640500228743146,0.02047236333847479
2007-11-15 00:00:00,986.77685546875,121.90873718261719,404.47344970703125,0.998583972454071,404.47344970703125,0.9335528016090393,0.035672031342983246,843478.3125,-2.8640500228743146,0.02047236333847479
2007-11-15 01:00:00,987.2750244140625,123.42232513427734,409.7179260253906,0.9984936118125916,409.7179260253906,0.9334473609924316,0.03578944504261017,855854.1875,-2.8758558795070797,0.020509838802454376
2007-11-15 02:00:00,988.1243896484375,124.89056396484375,414.7929992675781,0.9984368681907654,414.7929992675781,0.9333386421203613,0.035898249596357346,867864.625,-2.8904873709565684,0.020545233632651195
2007-11-15 03:00:00,988.9356079101562,128.277099609375,425.838623046875,0.998428225517273,425.838623046875,0.9330393671989441,0.03614363446831703,893844.0,-2.8803195497775693,0.020616884386558825
2007-11-15 04:00:00,989.2718505859375,130.181884765625,431.5825500488281,0.9983844757080078,431.5825500488281,0.9328656196594238,0.036270227283239365,907111.8125,-2.8904511862713673,0.020656574908446593
2007-11-15 05:00:00,989.353759765625,131.94630432128906,437.4709167480469,0.9984319806098938,437.4709167480469,0.932715654373169,0.03639862686395645,920748.1875,-2.8892115084485317,0.020700440696588336
2007-11-15 06:00:00,988.93310546875,134.10426330566406,443.57476806640625,0.9984627962112427,443.57476806640625,0.9326026439666748,0.036517221480607986,933724.375,-2.890541132941948,0.020748600396655454
2007-11-15 07:00:00,988.4880981445312,135.95172119140625,450.1849365234375,0.9984343647956848,450.1849365234375,0.9324464201927185,0.03666525334119797,948047.5,-2.89084885242683,0.02079820195779311
2007-11-15 08:00:00,988.045654296875,138.18226623535156,457.05120849609375,0.9984388947486877,457.05120849609375,0.9322441816329956,0.03682577982544899,963064.375,-2.8884904877273145,0.02084903850499091
2007-11-15 09:00:00,987.80126953125,140.3262481689453,464.3891906738281,0.9983716011047363,464.3891906738281,0.9320368766784668,0.037010837346315384,979224.0625,-2.8838528940599644,0.02090289096790076
2007-11-15 10:00:00,988.4862670898438,147.47860717773438,481.05279541015625,0.9983730316162109,481.05279541015625,0.9339303374290466,0.03552119806408882,994249.75,-2.9018846175562585,0.021052578264709437
2007-11-15 11:00:00,989.3512573242188,149.74676513671875,488.8911437988281,0.9984664916992188,488.8911437988281,0.933692455291748,0.03571150451898575,1011405.3125,-2.9062150371096793,0.021107072469199375
