tau_h,gradient_energy_n,gradient_energy_mean_z,gradient_energy_std_z,tb_v2_intensity_n,tb_v2_intensity_mean_z,tb_v2_intensity_std_z,tb_v2_cosine_n,tb_v2_cosine_mean_z,tb_v2_cosine_std_z,tb_v1_n,tb_v1_mean_z,tb_v1_std_z,morans_i_n,morans_i_mean_z,morans_i_std_z,spatial_entropy_n,spatial_entropy_mean_z,spatial_entropy_std_z
-4,6,0.37855758139726176,0.9647225059815562,6,0.3056079768573711,0.8276266960356836,6,-0.07310106361210911,0.9069027352140894,6,0.11332757954692746,0.6687398359349092,6,-0.1687430117307813,0.7199658813619579,6,-0.31509747902050417,0.7356546291561158
-3,6,0.47571376833041684,0.9842842282461923,6,0.41385439839410026,0.8497130377762333,6,0.1113820583588589,0.5742372915943729,6,0.32725983409946896,0.7921832619015275,6,-0.1108330597810756,0.818622255811635,6,-0.009594795933655531,1.2331674847874747
-2,6,0.559272833664845,0.8005731241971282,6,0.3943218366014325,0.7321011009249146,6,0.22017305564920261,0.6634331914967048,6,0.5964193234105699,0.9848687487879408,6,0.11238544898544489,0.6465900631957368,6,0.003539120001131139,1.2261519107316268
-1,6,0.41917646274507153,0.7229148878762887,6,0.33544131790595727,0.724245285632189,6,0.34745455081059945,0.6928576875310605,6,0.4926253706009602,0.8563905227960706,6,0.04149737187327399,0.7246900364284512,6,0.012897341997422465,1.2137787525503416
0,6,0.6657852583758139,0.9246926970181558,6,0.5711266104654541,0.9141986184948168,6,0.445794330723841,0.4354237743491202,6,0.8873537732154885,1.2578847372749227,6,0.030633054180989938,0.8428456789013328,6,0.04325672925784363,1.3759007801237815
1,5,0.7340192686298409,0.91085748665586,5,0.3760933565503121,0.6123794020822079,5,0.7505572378522195,0.4547011307173445,5,0.6665021771017307,1.0076678832201427,5,-0.23211624992806631,0.6734979810899013,5,-0.4839916977180265,0.7205288074493492
2,5,0.5413812217768383,0.446255069515871,5,0.28397161491793627,0.4020378476707662,5,0.4357020881954945,0.6848762835637452,5,0.6541363350064854,0.9635825115168014,5,-0.4789044786021274,0.9592017717042657,5,-0.40678057582587757,0.6207062358324286
3,5,0.43189418235039667,0.30788909986890234,5,0.19258356766654777,0.28544728143740544,5,0.4989063613862079,0.6809483728968174,5,0.46357528622599453,0.5857625270685074,5,-0.45317632312375256,0.9224586022928006,5,-0.34433674741973314,0.5525747786537611
4,5,0.34106863439068263,0.2720022401996746,5,0.13429026078647435,0.29570407499264717,5,-0.02598640807710098,0.42213215074613725,5,0.24844018986324218,0.5542140678781761,5,-0.5493097106049802,0.9441890525487253,5,-0.28304585116057535,0.49264660213027567
5,5,0.32184235600561356,0.3339189353254011,5,0.16477301227458804,0.28417719480515763,5,0.13527762534727375,0.5343863527563154,5,0.1810070931614061,0.436266895527892,5,-0.5842902300035969,0.9661723532191193,5,-0.21116580471795982,0.44703488564175436
6,5,0.2869960346813769,0.3917199170492913,5,0.16671210327205965,0.3145945766655602,5,-0.06450746991100711,0.30455847939358216,5,0.2119794324299286,0.46844917993069163,5,-0.6254448282954096,1.0235595295715678,5,-0.17447473032484906,0.428616583849161
7,5,0.3715550692227014,0.5080871026535431,5,0.1997725295389303,0.5074466882094937,5,0.5919370044072403,1.0878088113899074,5,0.24708726929995722,0.4539017928861013,5,-0.7122471447658689,1.0603284980662893,5,-0.11261863380523937,0.43182812571622337
8,5,0.3228317841012192,0.5312773736335065,5,0.10875096553437473,0.6526012750627932,5,0.16405443520967072,0.16056733455808256,5,0.22156181797182498,0.5058790854994563,5,-0.46560146108382766,0.7567692776406586,5,-0.08444709419418403,0.4067462232548127
9,5,0.33923160379950545,0.5662922820453136,5,0.11060882396424228,0.7205089554099431,5,0.08431839488319416,0.2271483989595787,5,0.18465849426341036,0.5409621012457442,5,-0.4609079758978883,0.7384582671177912,5,-0.06977655385742883,0.40340221000997745
10,5,0.3198689543589015,0.5968065193210416,5,0.15724851390568198,0.7113055871338057,5,0.0294691768669152,0.21851391510009607,5,0.21393475321948657,0.5701958938895045,5,-0.391960957264259,0.80432165783185,5,-0.05162774221481005,0.39718672554620843
11,5,-0.012748796411833319,1.043519706380244,5,0.08236982793743515,0.8538971243363146,5,-0.14201003118971683,0.3652423035923773,5,0.11154780726850252,0.7049640944834132,5,0.003428461436469471,0.9727784402530169,5,-0.015666427572322693,0.38512759591321316
12,5,0.038619483391287054,1.0558664733138527,5,0.17310996484602487,0.8404202282861838,5,0.03299838642400964,0.4159739937007107,5,0.2625758474925621,0.6786312875674404,5,0.053554396157667626,0.8879007924191822,5,0.020508697479958427,0.380221143670777
13,5,0.07426245534854371,1.1155070194559014,5,0.19131935026984676,0.9355885108779228,5,0.08070873372612866,0.43727892214527025,5,0.32178401463977674,0.7280298980609423,5,0.11506895846738803,0.7935863536041741,5,0.08262627861378055,0.3962325265313472
14,5,0.16844042921226426,1.1313511836906835,5,0.43026638522184035,0.8442088103004647,5,0.1050764145106707,0.6520048006892382,5,0.3479352842925223,0.7949328103002845,5,0.10797154445757336,0.8001729531899805,5,0.031357383742278845,0.3655901599079285
15,5,0.5074125396238023,1.397830082948097,5,0.7685644234631495,1.1671201335463455,5,-0.045992862591531944,1.0184459211296373,5,0.5783828924839963,1.2431663070089687,5,0.12450651125373935,0.717213039563379,5,0.11064713599866198,0.3871527325903768
16,5,0.5528086451856147,1.4346285324255938,5,0.8575062795007021,1.1874178822371368,5,-0.473618395865365,0.8995623469907056,5,0.6396695224102564,1.266231461369221,5,0.046844201011539396,0.8026282466164637,5,0.0938787562784001,0.37313172544792245
