Metric,Peak_Value,Peak_Time,Direct_Event_Delta_Hours,CrossCorr_Lag_Hours,Max_CrossCorr
gradient_energy,1571704.5,2019-05-04 22:00:00,73.0,-21,0.9620571951070174
tb_v2_intensity,710.3717651367188,2019-05-04 18:00:00,69.0,-21,0.9690411881085419
tb_v2_cosine,0.998489260673523,2019-05-01 23:00:00,2.0,-21,-0.8594885695251053
tb_v1,216.08056640625,2019-05-04 14:00:00,65.0,-21,0.9694745165357372
morans_i,0.919420599937439,2019-05-01 05:00:00,-16.0,24,-0.4861030912378054
spatial_entropy,0.020443709480821533,2019-05-04 21:00:00,72.0,24,-0.6610038465914031
